INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Mariegade', 1);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Emilievej', 1);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Emilievej', 1);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Rasmusbakken', 1);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Rasmusbakken', 1);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Kirstengade', 2);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Kirstengade', 2);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Andrealed', 2);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Andrealed', 2);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Mikkelvenget', 2);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Michaelvenget', 2);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Ellenvej', 3);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Ellenvej', 3);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Andreavang', 4);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Andreavang', 4);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Andreavang', 4);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Bentestrede', 4);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Bentestrede', 4);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Benjaminled', 4);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Benjaminled', 4);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Idagågade', 4);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Idagågade', 4);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Idagågade', 4);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Mortentorv', 5);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Mortentorv', 5);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Mortentorv', 5);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Lunabakken', 5);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Lunabakken', 5);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Lunabakken', 5);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Isabellavenget', 5);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Isabellavenget', 5);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Isabellavenget', 5);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Sebastianvenget', 5);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Sebastianvenget', 5);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Gittegade', 6);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Myntevang', 6);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Myntevang', 6);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Myntevang', 6);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Oliveravenue', 7);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Oliveravenue', 7);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Laugeboulevard', 8);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Gittevenget', 8);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Gittevenget', 8);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Estherstrede', 8);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Williamboulevard', 8);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Thorbakken', 9);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Thorbakken', 9);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Thorbakken', 9);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Bentebakken', 9);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Bentebakken', 9);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Akselled', 9);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Akselled', 9);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Sørenvej', 10);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Sørenvej', 10);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Sørenvej', 10);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Sørenvej', 11);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Sørenvej', 11);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Saraboulevard', 11);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Astavang', 11);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Astavang', 11);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Livavej', 11);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Livavej', 11);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Alberteavenue', 12);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Oscarvej', 12);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Oliverboulevard', 13);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Oliverboulevard', 13);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Oliverboulevard', 13);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Danielgågade', 13);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Danielgågade', 13);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Victoriavang', 13);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Victoriavang', 13);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Victoriavang', 13);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Jacobtorv', 13);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Jacobtorv', 13);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Jacobtorv', 13);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Idabakken', 14);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Idabakken', 14);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Idabakken', 14);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Viggaboulevard', 14);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Viggaboulevard', 14);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Konradgade', 14);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Konradgade', 14);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Louievenget', 14);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Louievenget', 14);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Jørgenavenue', 15);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Jørgenavenue', 15);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Jørgenavenue', 15);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Leneavenue', 15);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Leneavenue', 15);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Sagagade', 16);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Sørenvang', 16);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Sørenvang', 16);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Loneavenue', 17);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Loneavenue', 17);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Livagågade', 17);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Livagågade', 17);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Livagågade', 17);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Karlastrede', 17);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Myntevenget', 18);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Myntevenget', 18);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Mariusavenue', 18);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Agnesgågade', 18);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Livvenget', 19);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Livvenget', 19);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Agnesvej', 19);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Agnesvej', 19);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Agnesvej', 19);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Jacobstrede', 19);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Jacobstrede', 19);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Metteled', 19);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Metteled', 19);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Metteled', 19);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Jettegågade', 20);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Jettegågade', 20);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Jettegågade', 20);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Albavenget', 20);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Albavenget', 20);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Albavenget', 20);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Mathiasboulevard', 20);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Christiangågade', 20);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Christiangågade', 20);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Christiangågade', 20);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Astridgade', 21);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Astridgade', 21);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Astridgade', 21);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Josefinebakken', 21);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Alfredled', 21);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Alfredled', 21);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Alfredled', 21);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Jensbakken', 21);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Jensbakken', 21);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Jensbakken', 21);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Augustgågade', 22);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Isabellaboulevard', 22);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Isabellaboulevard', 22);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Isabellaboulevard', 22);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Sarastrede', 22);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Sarastrede', 22);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Martingade', 23);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Martingade', 23);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Martingade', 23);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Majatorv', 23);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Majatorv', 23);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Majatorv', 23);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Karenvej', 24);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Hanneboulevard', 25);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Hanneboulevard', 25);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Evagågade', 26);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Evagågade', 26);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Benteled', 26);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Benteled', 26);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Andreavej', 26);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Andreavej', 26);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Andreavej', 26);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Jensstrede', 26);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Felixbakken', 27);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Felixbakken', 27);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Felixstrede', 28);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Akselboulevard', 28);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Akselboulevard', 28);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Alexanderboulevard', 28);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Alexanderboulevard', 28);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Alexanderboulevard', 28);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Asgervang', 29);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Asgervang', 29);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Liamvang', 29);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Liamvang', 29);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('3', 'Liamvang', 29);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Carolinebakken', 30);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Carolinebakken', 30);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Sofievang', 30);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('1', 'Idavang', 30);
INSERT INTO address (Addressinfo, street, cityinfo_id) VALUES ('2', 'Idavang', 30);
