INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Metteundefined@mail.dk', 'Metteundefined', '40573813', '21', 'donec', '878410716', '2227');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Emilieundefined@mail.dk', 'Emilieundefined', '19772824', '39', 'quis', '188676278', '227');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Albaundefined@mail.dk', 'Albaundefined', '84768302', '21', 'amet', '827562202', '5430');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Lærkeundefined@mail.dk', 'Lærkeundefined', '87984620', '30', 'amet', '98660513', '2623');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Peterundefined@mail.dk', 'Peterundefined', '73355562', '43', 'sit', '439285542', '2786');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Williamundefined@mail.dk', 'Williamundefined', '54315319', '9', 'enim', '812797231', '2601');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Viggoundefined@mail.dk', 'Viggoundefined', '42291166', '23', 'amet', '244241470', '3885');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Leneundefined@mail.dk', 'Leneundefined', '54989228', '26', 'neque', '307625481', '4993');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Augustundefined@mail.dk', 'Augustundefined', '53888545', '35', 'quis', '987426757', '3160');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Marianneundefined@mail.dk', 'Marianneundefined', '75100687', '21', 'Justo', '80798478', '1100');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Kurtundefined@mail.dk', 'Kurtundefined', '23435489', '27', 'dolor', '33345037', '3762');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Valdemarundefined@mail.dk', 'Valdemarundefined', '13931376', '2', 'Justo', '489830113', '6135');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Anneundefined@mail.dk', 'Anneundefined', '36379560', '13', 'mi', '904139561', '2835');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Claraundefined@mail.dk', 'Claraundefined', '52302582', '28', 'Lorem', '778251361', '6405');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Noahundefined@mail.dk', 'Noahundefined', '59762513', '3', 'quis', '865634293', '1098');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Perundefined@mail.dk', 'Perundefined', '4010973', '39', 'neque', '156366383', '8');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Maltheundefined@mail.dk', 'Maltheundefined', '38737218', '24', 'tincidunt', '373857725', '2016');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Oscarundefined@mail.dk', 'Oscarundefined', '13558953', '32', 'dolor', '630688854', '5919');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Noahundefined@mail.dk', 'Noahundefined', '82750789', '9', 'ipsum', '420225550', '3386');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Asgerundefined@mail.dk', 'Asgerundefined', '45326683', '23', 'quis', '661742628', '3471');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Hansundefined@mail.dk', 'Hansundefined', '82908595', '41', 'donec', '258369648', '5236');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Nohrundefined@mail.dk', 'Nohrundefined', '9427367', '26', 'enim', '822790148', '5827');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Adamundefined@mail.dk', 'Adamundefined', '55827466', '13', 'Lorem', '510271558', '3314');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Loneundefined@mail.dk', 'Loneundefined', '42653991', '35', 'dolor', '883259734', '5477');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Mortenundefined@mail.dk', 'Mortenundefined', '11958306', '18', 'tincidunt', '548494336', '4205');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Victorundefined@mail.dk', 'Victorundefined', '62379', '2', 'Lorem', '813301054', '4559');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Christianundefined@mail.dk', 'Christianundefined', '11925325', '26', 'ipsum', '839507693', '2218');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Emilyundefined@mail.dk', 'Emilyundefined', '61320046', '16', 'ligula', '276028519', '2485');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Metteundefined@mail.dk', 'Metteundefined', '77247728', '39', 'amet', '927945071', '2792');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Susanneundefined@mail.dk', 'Susanneundefined', '4092761', '28', 'amet', '23292666', '1152');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Leaundefined@mail.dk', 'Leaundefined', '6725777', '21', 'volutpat', '937092763', '2741');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Emilyundefined@mail.dk', 'Emilyundefined', '55737383', '4', 'ipsum', '320587180', '6439');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Benteundefined@mail.dk', 'Benteundefined', '49383110', '33', 'ligula', '919843349', '145');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Louieundefined@mail.dk', 'Louieundefined', '31557908', '19', 'quis', '39707864', '4100');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Henrikundefined@mail.dk', 'Henrikundefined', '51918573', '2', 'tellus', '633427643', '3283');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Majaundefined@mail.dk', 'Majaundefined', '5275503', '9', 'enim', '349949944', '4123');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Larsundefined@mail.dk', 'Larsundefined', '64868007', '23', 'senectus', '240426138', '754');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Louieundefined@mail.dk', 'Louieundefined', '2634548', '50', 'dolor', '682925029', '3057');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Frederikundefined@mail.dk', 'Frederikundefined', '48185426', '26', 'ligula', '750413213', '3586');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Isabellaundefined@mail.dk', 'Isabellaundefined', '74637729', '17', 'volutpat', '998788104', '3036');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Maltheundefined@mail.dk', 'Maltheundefined', '82752727', '30', 'neque', '739135991', '3171');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Magneundefined@mail.dk', 'Magneundefined', '24123763', '41', 'dolor', '965744795', '6535');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Astridundefined@mail.dk', 'Astridundefined', '11467082', '16', 'dolor', '835253454', '4412');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Villadsundefined@mail.dk', 'Villadsundefined', '63541018', '25', 'volutpat', '522596546', '1608');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Karenundefined@mail.dk', 'Karenundefined', '45457748', '37', 'sit', '565354329', '6282');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Victoriaundefined@mail.dk', 'Victoriaundefined', '72651196', '10', 'Justo', '706328658', '3563');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Anneundefined@mail.dk', 'Anneundefined', '7902235', '14', 'ipsum', '180823350', '3161');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Jensundefined@mail.dk', 'Jensundefined', '79430842', '30', 'senectus', '835376974', '2558');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Carlundefined@mail.dk', 'Carlundefined', '33574359', '15', 'senectus', '723944998', '3881');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Mariaundefined@mail.dk', 'Mariaundefined', '77074291', '22', 'sit', '692907936', '5009');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Ottoundefined@mail.dk', 'Ottoundefined', '21433523', '23', 'Lorem', '259119310', '1937');
INSERT INTO INFO (type, email, name, cvr, numemployees, description, marketvalue, address_id) VALUES ('C', 'Sørenundefined@mail.dk', 'Sørenundefined', '87593481', '23', 'Justo', '186222544', '790');
